file,line,character,severity,type,reason,rule_id
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tools/markdown-tool/Commands/DumpTreeCommand.swift,31,,Warning,Line Length,Line should be 120 characters or less; currently it has 154 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupFormatterTests.swift,1542,,Error,File Length,File should contain 400 lines or less: currently contains 1542,file_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupFormatterTests.swift,396,10,Warning,Function Body Length,Function body should span 50 lines or less excluding comments and whitespace: currently spans 53 lines,function_body_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupFormatterTests.swift,563,13,Warning,Identifier Name,Variable name 'at' should be between 3 and 40 characters long,identifier_name
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupFormatterTests.swift,487,,Warning,Line Length,Line should be 120 characters or less; currently it has 126 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupFormatterTests.swift,854,,Warning,Line Length,Line should be 120 characters or less; currently it has 131 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupFormatterTests.swift,899,,Warning,Line Length,Line should be 120 characters or less; currently it has 131 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupFormatterTests.swift,51,,Warning,Trailing Whitespace,Lines should not have trailing whitespace,trailing_whitespace
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupFormatterTests.swift,15,1,Warning,Type Body Length,Type body should span 250 lines or less excluding comments and whitespace: currently spans 322 lines,type_body_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupFormatterTests.swift,845,1,Error,Type Body Length,Type body should span 350 lines or less excluding comments and whitespace: currently spans 432 lines,type_body_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,32,10,Warning,Function Body Length,Function body should span 50 lines or less excluding comments and whitespace: currently spans 91 lines,function_body_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,35,50,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,39,50,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,43,53,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,47,56,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,51,59,Warning,Redundant Void Return,Returning Void in a function declaration is redundant,redundant_void_return
